"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita"
"CO","Government","2017",23,"Colorado",5617,7615,1156,0.205803809862916,2.8715,17.1771,6.7287,0.3001,29.1234,4.0606,8.938,9.0737,"2016",7.615,5.617,28.6228,3.8765,8.6726,8.5481,6.7942,16.6168,1.5858,1.4719,2.5608,0.383,4.09471247997152e-06
"CO","Government","2018",24,"Colorado",5697,7998,1096,0.192381955415131,4.1262,18.1246,8.9442,0.3762,32.468,4.8193,11.2599,11.8988,"2017",7.998,5.697,29.1234,4.0606,9.0737,8.938,6.7287,17.1771,2.2512,1.5858,2.8715,0.3001,4.21274354923644e-06
"CO","Government","2019",24,"Colorado",5758,8286,1049,0.182181312955887,4.4617,18.1509,8.771,0.3818,31.2368,4.8706,11.0349,11.7543,"2018",8.286,5.758,32.468,4.8193,11.8988,11.2599,8.9442,18.1246,2.42175,2.2512,4.1262,0.3762,4.16811392844738e-06
"CT","Government","2015",13,"Connecticut",3589,10294,914,0.254667038172193,2.6047,9.7221,7.3222,0.9496,NA,NA,NA,NA,"2014",10.294,3.589,NA,NA,NA,NA,7.1792,8.5585,1.77715,1.46715,2.3317,0.6026,3.62217887991084e-06
"CT","Government","2016",13,"Connecticut",3580,10705,989,0.276256983240223,2.663,9.4982,7.1776,0.7724,29.1395,3.7798,8.8062,9.5922,"2015",10.705,3.58,NA,NA,NA,NA,7.3222,9.7221,1.7177,1.77715,2.6047,0.9496,3.63128491620112e-06
"CT","Government","2017",13,"Connecticut",3575,10989,1036,0.28979020979021,2.9538,10.8581,6.444,0.7673,30.4708,3.8721,7.8046,8.7747,"2016",10.989,3.575,29.1395,3.7798,9.5922,8.8062,7.1776,9.4982,1.86055,1.7177,2.663,0.7724,3.63636363636364e-06
"CT","Government","2018",12,"Connecticut",3575,11378,1063,0.297342657342657,2.214,12.4223,6.387,0.4286,31.4108,3.7813,7.9151,8.8224,"2017",11.378,3.575,30.4708,3.8721,8.7747,7.8046,6.444,10.8581,1.3213,1.86055,2.9538,0.7673,3.35664335664336e-06
"CT","Government","2019",12,"Connecticut",3566,11831,1087,0.304823331463825,2.1457,12.8116,6.6041,0.36,30.2486,3.678,7.5878,8.4255,"2018",11.831,3.566,31.4108,3.7813,8.8224,7.9151,6.387,12.4223,1.25285,1.3213,2.214,0.4286,3.36511497476164e-06
"DC","Government","2015",1,"District of Columbia",677,12500,260,0.384047267355982,3.3516,12.1021,8.5512,0.6463,NA,NA,NA,NA,"2014",12.5,0.677,NA,NA,NA,NA,10.1963,12.7153,1.99895,2.0886,3.6434,0.5338,1.47710487444609e-06
"DC","Government","2016",1,"District of Columbia",688,12851,269,0.390988372093023,3.6431,14.4135,8.9087,0.4654,39.7172,4.9386,10.0891,10.5873,"2015",12.851,0.688,NA,NA,NA,NA,8.5512,12.1021,2.05425,1.99895,3.3516,0.6463,1.45348837209302e-06
"DC","Government","2017",2,"District of Columbia",697,13131,281,0.403156384505022,4.5668,17.6678,9.4754,0.387,38.8251,5.4751,10.6723,11.546,"2016",13.131,0.697,39.7172,4.9386,10.5873,10.0891,8.9087,14.4135,2.4769,2.05425,3.6431,0.4654,2.86944045911047e-06
"DC","Government","2018",2,"District of Columbia",704,13487,281,0.399147727272727,4.7481,17.0902,10.5659,0.432,38.6551,5.5042,11.319,13.0078,"2017",13.487,0.704,38.8251,5.4751,11.546,10.6723,9.4754,17.6678,2.59005,2.4769,4.5668,0.387,2.84090909090909e-06
"DC","Government","2019",2,"District of Columbia",708,13934,281,0.396892655367232,4.1638,16.8022,9.438,0.6853,36.5176,5.484,10.8539,12.2963,"2018",13.934,0.708,38.6551,5.5042,13.0078,11.319,10.5659,17.0902,2.42455,2.59005,4.7481,0.432,2.82485875706215e-06
"DE","Government","2015",2,"Delaware",942,10714,236,0.250530785562633,2.3723,8.1095,6.2066,1.1307,NA,NA,NA,NA,"2014",10.714,0.942,NA,NA,NA,NA,6.5291,8.2263,1.7515,1.597,1.9777,1.2163,2.12314225053079e-06
"DE","Government","2016",2,"Delaware",950,10933,238,0.250526315789474,2.0764,9.028,6.5099,0.7859,24.3422,3.5607,7.4959,8.2607,"2015",10.933,0.95,NA,NA,NA,NA,6.2066,8.1095,1.43115,1.7515,2.3723,1.1307,2.10526315789474e-06
"DE","Government","2017",1,"Delaware",958,11444,242,0.252609603340292,2.178,10.1837,6.5552,0.9167,24.2278,3.5148,8.0492,8.9265,"2016",11.444,0.958,24.3422,3.5607,8.2607,7.4959,6.5099,9.028,1.54735,1.43115,2.0764,0.7859,1.04384133611691e-06
"DE","Government","2018",1,"Delaware",967,11771,245,0.253360910031024,2.3744,11.4371,6.618,0.91,25.2086,3.5768,7.7564,8.759,"2017",11.771,0.967,24.2278,3.5148,8.9265,8.0492,6.5552,10.1837,1.6422,1.54735,2.178,0.9167,1.03412616339193e-06
"DE","Government","2019",1,"Delaware",977,12213,244,0.249744114636643,2.3904,12.6284,6.5821,0.6295,25.9846,4.1409,7.7549,8.793,"2018",12.213,0.977,25.2086,3.5768,8.759,7.7564,6.618,11.4371,1.50995,1.6422,2.3744,0.91,1.02354145342886e-06
"FL","Government","2015",34,"Florida",20219,8330,3755,0.185716405361294,2.0155,7.8732,6.1937,0.2372,NA,NA,NA,NA,"2014",8.33,20.219,NA,NA,NA,NA,6.3059,7.5887,1.12635,1.2099,2.0895,0.3303,1.68158662644048e-06
"FL","Government","2016",36,"Florida",20627,8519,3840,0.186163765937848,1.7301,7.7032,5.9294,0.2385,27.1351,3.4687,6.9254,7.3549,"2015",8.519,20.627,NA,NA,NA,NA,6.1937,7.8732,0.9843,1.12635,2.0155,0.2372,1.74528530566733e-06
"FL","Government","2017",34,"Florida",20977,8814,3892,0.185536540020022,2.0864,8.7477,5.5681,0.3025,26.3567,3.2324,6.8424,7.1553,"2016",8.814,20.977,27.1351,3.4687,7.3549,6.9254,5.9294,7.7032,1.19445,0.9843,1.7301,0.2385,1.6208228059303e-06
"FL","Government","2018",34,"Florida",21255,9148,3701,0.174123735591626,2.1345,9.4716,4.779,0.3046,24.4195,3.2127,6.2626,6.6763,"2017",9.148,21.255,26.3567,3.2324,7.1553,6.8424,5.5681,8.7477,1.21955,1.19445,2.0864,0.3025,1.59962361797224e-06
"FL","Government","2019",33,"Florida",21492,9490,3615,0.16820212171971,1.8406,10.4218,4.1714,0.2626,23.8934,3.0808,5.651,5.9793,"2018",9.49,21.492,24.4195,3.2127,6.6763,6.2626,4.779,9.4716,1.0516,1.21955,2.1345,0.3046,1.53545505304299e-06
"GA","Government","2015",77,"Georgia",10183,7055,1849,0.181577138367868,1.8572,7.8868,5.8573,0.1611,NA,NA,NA,NA,"2014",7.055,10.183,NA,NA,NA,NA,6.6125,7.9572,1.00915,0.8713,1.5526,0.19,7.56162231169596e-06
"GA","Government","2016",65,"Georgia",10308,7353,1895,0.18383779588669,2.0777,7.3114,4.7936,0.1822,23.549,3.6352,6.2152,6.5363,"2015",7.353,10.308,NA,NA,NA,NA,5.8573,7.8868,1.12995,1.00915,1.8572,0.1611,6.3057819169577e-06
"GA","Government","2017",60,"Georgia",10417,7605,1938,0.186042046654507,1.8947,6.8886,4.7759,0.2135,22.5367,3.1662,6.0396,6.3175,"2016",7.605,10.417,23.549,3.6352,6.5363,6.2152,4.7936,7.3114,1.0541,1.12995,2.0777,0.1822,5.75981568589805e-06
"GA","Government","2018",66,"Georgia",10519,7844,2002,0.190322273980416,1.9837,8.4711,4.8572,0.1821,23.525,3.1688,6.3628,6.7724,"2017",7.844,10.519,22.5367,3.1662,6.3175,6.0396,4.7759,6.8886,1.0829,1.0541,1.8947,0.2135,6.27436068067307e-06
"GA","Government","2019",66,"Georgia",10628,8243,2022,0.190252164094844,1.5624,9.552,4.9001,0.1769,23.0915,2.8928,6.2458,6.5955,"2018",8.243,10.628,23.525,3.1688,6.7724,6.3628,4.8572,8.4711,0.86965,1.0829,1.9837,0.1821,6.21001129092962e-06
"HI","Government","2015",6,"Hawaii",1423,7747,320,0.22487702037948,1.9917,8.1108,5.6379,0.2311,NA,NA,NA,NA,"2014",7.747,1.423,NA,NA,NA,NA,7.1933,7.9244,1.1114,0.88905,1.6486,0.1295,4.21644413211525e-06
"HI","Government","2016",6,"Hawaii",1429,8041,354,0.247725682295311,2.0795,8.3243,5.2548,0.263,22.0361,3.2204,6.6953,7.2334,"2015",8.041,1.429,NA,NA,NA,NA,5.6379,8.1108,1.17125,1.1114,1.9917,0.2311,4.19874037788663e-06
"HI","Government","2017",7,"Hawaii",1426,8496,361,0.253155680224404,1.9926,8.3134,5.5091,0.2614,21.8773,2.6866,6.4971,7.0302,"2016",8.496,1.426,22.0361,3.2204,7.2334,6.6953,5.2548,8.3243,1.127,1.17125,2.0795,0.263,4.90883590462833e-06
"HI","Government","2018",6,"Hawaii",1423,8932,350,0.245959241040056,2.2544,9.1104,5.5463,0.2877,24.483,2.8684,6.6909,7.1314,"2017",8.932,1.423,21.8773,2.6866,7.0302,6.4971,5.5091,8.3134,1.27105,1.127,1.9926,0.2614,4.21644413211525e-06
"HI","Government","2019",5,"Hawaii",1416,9555,335,0.236581920903955,2.5912,10.4668,6.3073,0.2848,24.9479,3.5317,7.6703,8.4506,"2018",9.555,1.416,24.483,2.8684,7.1314,6.6909,5.5463,9.1104,1.438,1.27105,2.2544,0.2877,3.53107344632768e-06
"IA","Government","2015",10,"Iowa",3123,8358,664,0.212616074287544,1.1198,4.7242,6.7489,0.1339,NA,NA,NA,NA,"2014",8.358,3.123,NA,NA,NA,NA,6.5925,5.0021,0.62685,0.76925,1.3582,0.1803,3.2020493115594e-06
"IA","Government","2016",11,"Iowa",3133,8464,702,0.224066390041494,1.251,5.4809,6.8289,0.2106,31.5088,2.7726,7.5606,8.0335,"2015",8.464,3.133,NA,NA,NA,NA,6.7489,4.7242,0.7308,0.62685,1.1198,0.1339,3.511011809767e-06
"IA","Government","2017",8,"Iowa",3144,8525,709,0.225508905852417,1.5248,6.8031,7.5784,0.2435,32.101,3.1025,8.5804,9.1968,"2016",8.525,3.144,31.5088,2.7726,8.0335,7.5606,6.8289,5.4809,0.88415,0.7308,1.251,0.2106,2.54452926208651e-06
"IA","Government","2018",8,"Iowa",3150,8812,712,0.226031746031746,1.5733,7.2106,7.1763,0.2852,30.8824,3.566,8.2471,9.1342,"2017",8.812,3.15,32.101,3.1025,9.1968,8.5804,7.5784,6.8031,0.92925,0.88415,1.5248,0.2435,2.53968253968254e-06
"IA","Government","2019",6,"Iowa",3160,9193,714,0.225949367088608,1.5469,6.7992,6.1309,0.2693,30.208,3.6442,7.1793,8.0535,"2018",9.193,3.16,30.8824,3.566,9.1342,8.2471,7.1763,7.2106,0.9081,0.92925,1.5733,0.2852,1.89873417721519e-06
"ID","Government","2015",15,"Idaho",1652,6843,238,0.14406779661017,1.0947,6.3242,6.4199,0.292,NA,NA,NA,NA,"2014",6.843,1.652,NA,NA,NA,NA,7.0659,6.3367,0.69335,0.63815,1.0244,0.2519,9.07990314769976e-06
"ID","Government","2016",15,"Idaho",1684,6974,253,0.150237529691211,1.3093,7.0716,5.8976,0.3542,22.8109,3.3519,7.3364,7.8975,"2015",6.974,1.684,NA,NA,NA,NA,6.4199,6.3242,0.83175,0.69335,1.0947,0.292,8.90736342042755e-06
"ID","Government","2017",13,"Idaho",1720,7257,262,0.152325581395349,1.4511,7.7751,6.3295,0.358,23.7145,3.0424,7.3306,8.1755,"2016",7.257,1.72,22.8109,3.3519,7.8975,7.3364,5.8976,7.0716,0.90455,0.83175,1.3093,0.3542,7.55813953488372e-06
"ID","Government","2018",15,"Idaho",1752,7444,245,0.139840182648402,1.4643,8.4462,5.9095,0.3467,23.6939,2.6657,6.9923,7.7586,"2017",7.444,1.752,23.7145,3.0424,8.1755,7.3306,6.3295,7.7751,0.9055,0.90455,1.4511,0.358,8.56164383561644e-06
"ID","Government","2019",12,"Idaho",1789,7723,238,0.133035215204025,1.4589,8.8917,5.8586,0.3301,24.2835,2.6954,7.0107,7.6745,"2018",7.723,1.789,23.6939,2.6657,7.7586,6.9923,5.9095,8.4462,0.8945,0.9055,1.4643,0.3467,6.70765790944662e-06
"IL","Government","2015",25,"Illinois",12860,8300,3248,0.252566096423017,1.929,8.0563,6.4276,0.3586,NA,NA,NA,NA,"2014",8.3,12.86,NA,NA,NA,NA,6.5777,7.7349,1.1438,1.07095,1.8454,0.2965,1.94401244167963e-06
"IL","Government","2016",32,"Illinois",12822,8630,3283,0.256044298861332,1.8653,8.0263,5.9552,0.2745,28.3811,3.3241,7.3462,7.7967,"2015",8.63,12.822,NA,NA,NA,NA,6.4276,8.0563,1.0699,1.1438,1.929,0.3586,2.49571049758228e-06
"IL","Government","2017",26,"Illinois",12780,8849,3257,0.254851330203443,2.093,9.0108,6.6494,0.2749,29.7952,3.2746,7.7762,8.3225,"2016",8.849,12.78,28.3811,3.3241,7.7967,7.3462,5.9552,8.0263,1.18395,1.0699,1.8653,0.2745,2.03442879499218e-06
"IL","Government","2018",29,"Illinois",12725,9118,3161,0.248408644400786,2.4105,9.9303,6.4306,0.2613,30.2284,3.3345,7.6163,8.1615,"2017",9.118,12.725,29.7952,3.2746,8.3225,7.7762,6.6494,9.0108,1.3359,1.18395,2.093,0.2749,2.27897838899804e-06
"IL","Government","2019",39,"Illinois",12667,9496,2990,0.236046419831057,2.2732,10.7173,5.9316,0.2649,29.1737,3.3032,7.2704,8.0223,"2018",9.496,12.667,30.2284,3.3345,8.1615,7.6163,6.4306,9.9303,1.26905,1.3359,2.4105,0.2613,3.07886634562248e-06
"IN","Government","2015",11,"Indiana",6611,8368,1204,0.182120707911057,1.3174,8.7862,6.3019,0.296,NA,NA,NA,NA,"2014",8.368,6.611,NA,NA,NA,NA,7.0967,7.6377,0.8067,0.82355,1.2896,0.3575,1.66389351081531e-06
"IN","Government","2016",11,"Indiana",6638,8776,1360,0.204880988249473,1.407,8.9138,5.7154,0.4686,25.3659,3.3981,6.833,7.4323,"2015",8.776,6.638,NA,NA,NA,NA,6.3019,8.7862,0.9378,0.8067,1.3174,0.296,1.65712564025309e-06
"IN","Government","2017",11,"Indiana",6662,9015,1420,0.21314920444311,2.0473,9.5877,5.6311,0.6988,24.9975,3.9124,6.9005,7.5609,"2016",9.015,6.662,25.3659,3.3981,7.4323,6.833,5.7154,8.9138,1.37305,0.9378,1.407,0.4686,1.65115580906635e-06
"IN","Government","2018",14,"Indiana",6698,9297,1385,0.206778142729173,2.2996,10.5726,5.1521,0.5378,26.5099,3.8902,6.7781,7.3882,"2017",9.297,6.698,24.9975,3.9124,7.5609,6.9005,5.6311,9.5877,1.4187,1.37305,2.0473,0.6988,2.09017617199164e-06
"IN","Government","2019",11,"Indiana",6731,9927,1383,0.205467241123162,1.6922,11.9846,6.0019,0.3507,27.7333,3.3109,7.8175,8.423,"2018",9.927,6.731,26.5099,3.8902,7.3882,6.7781,5.1521,10.5726,1.02145,1.4187,2.2996,0.5378,1.63422968355371e-06
"KS","Government","2015",33,"Kansas",2911,7634,368,0.126417038818276,1.2442,7.3762,6.3657,0.1532,NA,NA,NA,NA,"2014",7.634,2.911,NA,NA,NA,NA,7.9213,6.393,0.6987,0.8494,1.4601,0.2387,1.13363105462041e-05
"KS","Government","2016",30,"Kansas",2913,7845,400,0.137315482320632,1.3025,6.9999,5.3825,0.2881,27.9123,2.8217,6.3501,7.0403,"2015",7.845,2.913,NA,NA,NA,NA,6.3657,7.3762,0.7953,0.6987,1.2442,0.1532,1.02986611740474e-05
"KS","Government","2017",22,"Kansas",2911,8060,381,0.130882858124356,1.6963,6.7791,5.8711,0.3212,28.3318,2.964,6.5861,7.2368,"2016",8.06,2.911,27.9123,2.8217,7.0403,6.3501,5.3825,6.9999,1.00875,0.7953,1.3025,0.2881,7.55754036413604e-06
"KS","Government","2018",29,"Kansas",2913,8381,375,0.128733264675592,1.7531,6.5446,5.4972,0.2513,29.0497,3.3037,6.8067,7.2726,"2017",8.381,2.913,28.3318,2.964,7.2368,6.5861,5.8711,6.7791,1.0022,1.00875,1.6963,0.3212,9.9553724682458e-06
"KS","Government","2019",28,"Kansas",2913,8745,364,0.124957088911775,2.2132,7.7502,5.544,0.537,28.7126,4.3061,6.6831,7.2858,"2018",8.745,2.913,29.0497,3.3037,7.2726,6.8067,5.4972,6.5446,1.3751,1.0022,1.7531,0.2513,9.61208376244422e-06
"KY","Government","2015",8,"Kentucky",4429,8306,1235,0.27884398284037,1.6932,7.1327,5.947,0.5853,NA,NA,NA,NA,"2014",8.306,4.429,NA,NA,NA,NA,5.8569,6.8634,1.13925,1.1076,1.6734,0.5418,1.80627681192143e-06
"KY","Government","2016",8,"Kentucky",4440,8611,1304,0.293693693693694,1.7537,7.1139,5.7121,0.5116,23.7816,3.2875,6.9593,8.1006,"2015",8.611,4.44,NA,NA,NA,NA,5.947,7.1327,1.13265,1.13925,1.6932,0.5853,1.8018018018018e-06
"KY","Government","2017",6,"Kentucky",4456,8959,1350,0.302962298025135,1.7033,7.946,5.2802,0.4066,23.3939,3.0287,6.6252,7.4728,"2016",8.959,4.456,23.7816,3.2875,8.1006,6.9593,5.7121,7.1139,1.05495,1.13265,1.7537,0.5116,1.34649910233393e-06
"KY","Government","2018",7,"Kentucky",4464,9332,1322,0.296146953405018,1.8453,8.4228,4.9593,0.4368,21.9734,3.2982,6.4532,7.4566,"2017",9.332,4.464,23.3939,3.0287,7.4728,6.6252,5.2802,7.946,1.14105,1.05495,1.7033,0.4066,1.56810035842294e-06
"KY","Government","2019",5,"Kentucky",4472,9744,1281,0.286449016100179,2.0971,10.107,5.4472,0.4334,23.23,3.2273,6.9712,7.8683,"2018",9.744,4.472,21.9734,3.2982,7.4566,6.4532,4.9593,8.4228,1.26525,1.14105,1.8453,0.4368,1.11806797853309e-06
"LA","Government","2015",47,"Louisiana",4667,8201,1270,0.272123419755732,1.8777,6.4257,7.0396,0.1693,NA,NA,NA,NA,"2014",8.201,4.667,NA,NA,NA,NA,6.4005,6.1745,1.0235,1.0293,1.7473,0.3113,1.00707092350546e-05
"LA","Government","2016",43,"Louisiana",4681,8542,1393,0.297585985900449,1.8407,6.9367,6.9264,0.232,28.5067,3.9174,7.8844,8.4844,"2015",8.542,4.681,NA,NA,NA,NA,7.0396,6.4257,1.03635,1.0235,1.8777,0.1693,9.18607135227516e-06
"LA","Government","2017",42,"Louisiana",4674,8984,1508,0.322635857937527,1.5476,7.8025,6.5703,0.2379,28.9845,3.5715,7.6103,8.4561,"2016",8.984,4.674,28.5067,3.9174,8.4844,7.8844,6.9264,6.9367,0.89275,1.03635,1.8407,0.232,8.98587933247754e-06
"LA","Government","2018",40,"Louisiana",4664,9217,1502,0.322041166380789,1.6242,7.959,6.8975,0.2238,28.3297,3.4671,7.872,8.6932,"2017",9.217,4.664,28.9845,3.5715,8.4561,7.6103,6.5703,7.8025,0.924,0.89275,1.5476,0.2379,8.57632933104631e-06
"LA","Government","2019",42,"Louisiana",4658,9657,1484,0.31859167024474,1.9708,8.0259,6.0422,0.307,28.0988,3.3442,7.2425,8.0628,"2018",9.657,4.658,28.3297,3.4671,8.6932,7.872,6.8975,7.959,1.1389,0.924,1.6242,0.2238,9.0167453842851e-06
